nb_visites,nb_views,nb_addtocarts,nb_transactions
2978,2539.0,306.0,133.0
893,752.0,44.0,97.0
402,293.0,17.0,92.0
1155,947.0,162.0,46.0
1489,1346.0,97.0,46.0
1073,939.0,89.0,45.0
1122,986.0,95.0,41.0
665,575.0,52.0,38.0
894,796.0,60.0,38.0
740,631.0,72.0,37.0
838,647.0,156.0,35.0
1507,1333.0,141.0,33.0
474,393.0,49.0,32.0
551,468.0,52.0,31.0
1214,1103.0,80.0,31.0
678,597.0,52.0,29.0
236,200.0,8.0,28.0
977,860.0,90.0,27.0
1647,1531.0,89.0,27.0
1162,1067.0,70.0,25.0
1227,1131.0,71.0,25.0
657,589.0,45.0,23.0
625,558.0,44.0,23.0
490,435.0,33.0,22.0
680,626.0,34.0,20.0
492,414.0,58.0,20.0
1231,1164.0,47.0,20.0
1067,912.0,136.0,19.0
354,283.0,52.0,19.0
464,419.0,26.0,19.0
701,610.0,72.0,19.0
274,232.0,23.0,19.0
274,232.0,23.0,19.0
415,363.0,34.0,18.0
323,270.0,35.0,18.0
344,298.0,29.0,17.0
549,495.0,37.0,17.0
214,178.0,20.0,16.0
227,181.0,30.0,16.0
504,456.0,32.0,16.0
487,448.0,23.0,16.0
1307,1214.0,77.0,16.0
402,356.0,31.0,15.0
572,521.0,36.0,15.0
404,336.0,53.0,15.0
475,422.0,38.0,15.0
1628,1565.0,48.0,15.0
1608,1528.0,65.0,15.0
276,233.0,29.0,14.0
1103,1043.0,46.0,14.0
403,363.0,26.0,14.0
355,318.0,23.0,14.0
622,581.0,27.0,14.0
404,366.0,24.0,14.0
794,696.0,84.0,14.0
168,130.0,24.0,14.0
1153,1076.0,64.0,13.0
225,194.0,18.0,13.0
183,146.0,24.0,13.0
896,839.0,44.0,13.0
727,680.0,34.0,13.0
770,709.0,48.0,13.0
442,403.0,26.0,13.0
960,907.0,40.0,13.0
450,391.0,46.0,13.0
223,189.0,22.0,12.0
214,177.0,25.0,12.0
1800,1740.0,48.0,12.0
706,652.0,42.0,12.0
397,365.0,20.0,12.0
972,928.0,32.0,12.0
617,567.0,38.0,12.0
406,368.0,26.0,12.0
185,162.0,11.0,12.0
182,152.0,18.0,12.0
270,238.0,20.0,12.0
403,365.0,26.0,12.0
794,746.0,36.0,12.0
241,220.0,9.0,12.0
154,111.0,31.0,12.0
785,734.0,39.0,12.0
249,211.0,26.0,12.0
774,733.0,30.0,11.0
426,389.0,26.0,11.0
193,162.0,20.0,11.0
388,359.0,18.0,11.0
1447,1397.0,39.0,11.0
905,874.0,20.0,11.0
246,218.0,17.0,11.0
139,113.0,15.0,11.0
341,315.0,15.0,11.0
396,355.0,30.0,11.0
1433,1389.0,33.0,11.0
90,61.0,18.0,11.0
764,716.0,37.0,11.0
959,904.0,44.0,11.0
244,204.0,29.0,11.0
522,465.0,46.0,11.0
233,204.0,18.0,11.0
93,67.0,15.0,11.0
433,389.0,33.0,11.0
687,641.0,35.0,11.0
229,198.0,20.0,11.0
175,151.0,13.0,11.0
151,128.0,12.0,11.0
382,352.0,19.0,11.0
360,335.0,14.0,11.0
464,424.0,29.0,11.0
180,155.0,15.0,10.0
180,151.0,19.0,10.0
116,97.0,9.0,10.0
323,290.0,23.0,10.0
191,164.0,17.0,10.0
221,186.0,25.0,10.0
268,239.0,19.0,10.0
440,411.0,19.0,10.0
518,482.0,26.0,10.0
474,443.0,21.0,10.0
948,909.0,29.0,10.0
199,165.0,24.0,10.0
320,286.0,24.0,10.0
512,472.0,30.0,10.0
538,498.0,30.0,10.0
210,176.0,24.0,10.0
258,235.0,13.0,10.0
227,199.0,18.0,10.0
127,101.0,16.0,10.0
285,249.0,26.0,10.0
446,418.0,18.0,10.0
628,589.0,29.0,10.0
562,525.0,27.0,10.0
213,185.0,18.0,10.0
283,249.0,24.0,10.0
684,614.0,61.0,9.0
368,345.0,14.0,9.0
182,162.0,11.0,9.0
124,104.0,11.0,9.0
388,363.0,16.0,9.0
101,81.0,11.0,9.0
841,764.0,68.0,9.0
196,170.0,17.0,9.0
246,221.0,16.0,9.0
505,475.0,21.0,9.0
120,92.0,19.0,9.0
349,281.0,59.0,9.0
540,519.0,12.0,9.0
219,197.0,13.0,9.0
135,113.0,13.0,9.0
182,157.0,16.0,9.0
205,177.0,19.0,9.0
600,567.0,24.0,9.0
239,203.0,27.0,9.0
294,266.0,19.0,9.0
140,117.0,14.0,9.0
248,227.0,12.0,9.0
610,571.0,30.0,9.0
676,645.0,22.0,9.0
325,301.0,15.0,9.0
272,222.0,41.0,9.0
134,113.0,12.0,9.0
191,170.0,12.0,9.0
161,137.0,15.0,9.0
236,211.0,16.0,9.0
201,157.0,35.0,9.0
266,242.0,15.0,9.0
509,486.0,14.0,9.0
199,179.0,11.0,9.0
847,810.0,28.0,9.0
191,171.0,11.0,9.0
297,274.0,14.0,9.0
376,345.0,22.0,9.0
130,108.0,13.0,9.0
136,118.0,9.0,9.0
297,270.0,19.0,8.0
358,323.0,27.0,8.0
446,423.0,15.0,8.0
331,308.0,15.0,8.0
424,399.0,17.0,8.0
594,524.0,62.0,8.0
195,172.0,15.0,8.0
372,320.0,44.0,8.0
247,217.0,22.0,8.0
101,83.0,10.0,8.0
161,141.0,12.0,8.0
86,71.0,7.0,8.0
292,274.0,10.0,8.0
147,126.0,13.0,8.0
364,328.0,28.0,8.0
95,77.0,10.0,8.0
161,142.0,11.0,8.0
609,578.0,23.0,8.0
159,141.0,10.0,8.0
220,195.0,17.0,8.0
141,119.0,14.0,8.0
141,107.0,26.0,8.0
135,117.0,10.0,8.0
270,249.0,13.0,8.0
317,293.0,16.0,8.0
164,145.0,11.0,8.0
200,173.0,19.0,8.0
635,608.0,19.0,8.0
191,171.0,12.0,8.0
247,226.0,13.0,8.0
183,166.0,9.0,8.0
396,375.0,13.0,8.0
110,92.0,10.0,8.0
66,46.0,12.0,8.0
298,269.0,21.0,8.0
319,295.0,16.0,8.0
340,315.0,17.0,8.0
256,217.0,31.0,8.0
275,252.0,15.0,8.0
252,229.0,15.0,8.0
294,269.0,17.0,8.0
253,227.0,18.0,8.0
108,90.0,10.0,8.0
259,242.0,9.0,8.0
1126,1094.0,24.0,8.0
321,299.0,14.0,8.0
74,55.0,12.0,7.0
173,154.0,12.0,7.0
180,157.0,16.0,7.0
78,71.0,0.0,7.0
175,155.0,13.0,7.0
189,169.0,13.0,7.0
128,107.0,14.0,7.0
628,597.0,24.0,7.0
128,108.0,13.0,7.0
354,326.0,21.0,7.0
194,174.0,13.0,7.0
111,94.0,10.0,7.0
325,311.0,7.0,7.0
272,253.0,12.0,7.0
