nb_visites,nb_views,nb_addtocarts,nb_transactions,nb_items_bought,sum_time_second,sum_time_minute,sum_time_hour,mean_time_tran_sec,mean_time_tran_minute,mean_time_tran_hour
858,802.0,29.0,23.0,27.0,11057991.572,184300.0,3071.66,480782.2422608696,8013.0,133.55
528,342.0,114.0,51.0,72.0,11043692.226,184062.0,3067.69,216542.9848235294,3609.0,60.15
2474,2368.0,56.0,44.0,50.0,10461816.134,174364.0,2906.06,237768.5485,3963.0,66.05
536,494.0,32.0,10.0,10.0,10386050.076,173101.0,2885.01,1038605.0075999999,17310.0,288.5
135,108.0,14.0,8.0,13.0,10293871.21,171565.0,2859.41,1286733.90125,21446.0,357.43
386,366.0,12.0,8.0,8.0,10109068.317,168484.0,2808.07,1263633.539625,21061.0,351.01
64,40.0,10.0,8.0,14.0,9935806.087,165597.0,2759.95,1241975.760875,20700.0,344.99
11,4.0,4.0,3.0,3.0,9776062.085,162934.0,2715.57,3258687.361666667,54311.0,905.19
34,10.0,11.0,13.0,13.0,9749692.574,162495.0,2708.25,749976.3518461537,12500.0,208.33
158,129.0,16.0,2.0,13.0,9718010.384,161967.0,2699.45,4859005.192,80983.0,1349.72
8,4.0,2.0,2.0,2.0,9673156.214,161219.0,2686.99,4836578.107,80610.0,1343.49
347,243.0,78.0,22.0,26.0,9520168.384,158669.0,2644.49,432734.92654545454,7212.0,120.2
49,30.0,10.0,2.0,9.0,9498244.061,158304.0,2638.4,4749122.0305,79152.0,1319.2
28,20.0,4.0,3.0,4.0,9400753.595,156679.0,2611.32,3133584.5316666667,52226.0,870.44
480,345.0,113.0,16.0,22.0,9316626.78,155277.0,2587.95,582289.17375,9705.0,161.75
254,195.0,45.0,13.0,14.0,9130618.248,152177.0,2536.28,702355.2498461538,11706.0,195.1
469,444.0,18.0,7.0,7.0,9079006.374,151317.0,2521.95,1297000.9105714285,21617.0,360.28
33,18.0,8.0,4.0,7.0,8972073.588,149535.0,2492.24,2243018.397,37384.0,623.06
9,3.0,4.0,2.0,2.0,8890285.847,148171.0,2469.52,4445142.9235,74086.0,1234.76
1752,1684.0,48.0,11.0,20.0,8817252.42,146954.0,2449.24,801568.4018181819,13359.0,222.66
20,12.0,4.0,4.0,4.0,8723278.689,145388.0,2423.13,2180819.67225,36347.0,605.78
200,191.0,5.0,2.0,4.0,8561988.541,142700.0,2378.33,4280994.2705,71350.0,1189.17
16,10.0,3.0,3.0,3.0,8539178.873,142320.0,2371.99,2846392.9576666667,47440.0,790.66
83,52.0,17.0,12.0,14.0,8491660.202,141528.0,2358.79,707638.3501666667,11794.0,196.57
507,496.0,5.0,6.0,6.0,8298002.18,138300.0,2305.0,1383000.3633333333,23050.0,384.17
241,235.0,3.0,3.0,3.0,8120901.069,135348.0,2255.81,2706967.023,45116.0,751.94
6,4.0,0.0,2.0,2.0,8062404.877,134373.0,2239.56,4031202.4385,67187.0,1119.78
188,145.0,25.0,7.0,18.0,7869201.4,131153.0,2185.89,1124171.6285714286,18736.0,312.27
96,58.0,19.0,6.0,19.0,7848616.028,130810.0,2180.17,1308102.6713333332,21802.0,363.36
15,11.0,2.0,2.0,2.0,7724792.907,128747.0,2145.78,3862396.4535,64373.0,1072.89
4328,3623.0,419.0,221.0,286.0,7703030.833,128384.0,2139.73,34855.3431357466,581.0,9.68
50,34.0,11.0,4.0,5.0,7509157.45,125153.0,2085.88,1877289.3625,31288.0,521.47
55,38.0,11.0,5.0,6.0,7450203.883,124170.0,2069.5,1490040.7766,24834.0,413.9
4,0.0,2.0,2.0,2.0,7435016.984,123917.0,2065.28,3717508.492,61958.0,1032.64
8,4.0,2.0,2.0,2.0,7260231.52,121004.0,2016.73,3630115.76,60502.0,1008.37
6,4.0,0.0,2.0,2.0,7250292.909,120838.0,2013.97,3625146.4545,60419.0,1006.99
6,2.0,2.0,2.0,2.0,7136367.06,118939.0,1982.32,3568183.53,59470.0,991.16
937,856.0,46.0,31.0,35.0,7007519.869,116792.0,1946.53,226049.02803225807,3767.0,62.79
895,885.0,6.0,4.0,4.0,6822619.208,113710.0,1895.17,1705654.802,28428.0,473.79
744,629.0,106.0,5.0,9.0,6723105.698,112052.0,1867.53,1344621.1395999999,22410.0,373.51
173,165.0,3.0,5.0,5.0,6657439.778,110957.0,1849.29,1331487.9556,22191.0,369.86
31,27.0,2.0,2.0,2.0,6649874.069,110831.0,1847.19,3324937.0345,55416.0,923.59
16,11.0,3.0,2.0,2.0,6631168.053,110519.0,1841.99,3315584.0265,55260.0,921.0
40,28.0,0.0,2.0,12.0,6494627.773,108244.0,1804.06,3247313.8865,54122.0,902.03
109,97.0,6.0,4.0,6.0,6392433.282,106541.0,1775.68,1598108.3205,26635.0,443.92
13,8.0,2.0,3.0,3.0,6330856.072,105514.0,1758.57,2110285.357333333,35171.0,586.19
12,7.0,2.0,2.0,3.0,6236449.741,103941.0,1732.35,3118224.8705,51970.0,866.17
25,19.0,3.0,3.0,3.0,6220276.877,103671.0,1727.85,2073425.6256666668,34557.0,575.95
10,4.0,3.0,3.0,3.0,6148070.309,102468.0,1707.8,2049356.7696666669,34156.0,569.27
37,10.0,15.0,7.0,12.0,6142316.526,102372.0,1706.2,877473.7894285714,14625.0,243.74
152,117.0,18.0,10.0,17.0,6007852.761,100131.0,1668.85,600785.2761,10013.0,166.88
79,73.0,3.0,2.0,3.0,5970079.46,99501.0,1658.36,2985039.73,49751.0,829.18
41,18.0,20.0,3.0,3.0,5956212.316,99270.0,1654.5,1985404.1053333331,33090.0,551.5
13,9.0,2.0,2.0,2.0,5780497.808,96342.0,1605.69,2890248.904,48171.0,802.85
23,14.0,3.0,3.0,6.0,5759372.653,95990.0,1599.83,1919790.8843333332,31997.0,533.28
