sum_time_second,sum_time_minute,sum_time_hour
435.714,7.0,0.12
242.643,4.0,0.07
354.215,6.0,0.1
75.902,1.0,0.02
345.938,6.0,0.1
834.699,14.0,0.23
1816.843,30.0,0.5
305.722,5.0,0.08
267.753,4.0,0.07
318.076,5.0,0.09
1044.697,17.0,0.29
92.946,2.0,0.03
1114.428,19.0,0.31
896.262,15.0,0.25
148.782,2.0,0.04
63.479,1.0,0.02
170.399,3.0,0.05
294.686,5.0,0.08
1440.411,24.0,0.4
2466.041,41.0,0.69
801.951,13.0,0.22
298.726,5.0,0.08
61.968,1.0,0.02
416.165,7.0,0.12
238.742,4.0,0.07
981.998,16.0,0.27
280.917,5.0,0.08
1083.88,18.0,0.3
148.493,2.0,0.04
653.424,11.0,0.18
2187.173,36.0,0.61
3565.872,59.0,0.99
202.293,3.0,0.06
601.846,10.0,0.17
1913.34,32.0,0.53
444.952,7.0,0.12
1922.565,32.0,0.53
558.85,9.0,0.16
360.64,6.0,0.1
289.617,5.0,0.08
905.235,15.0,0.25
208.092,3.0,0.06
349.427,6.0,0.1
256.334,4.0,0.07
171.246,3.0,0.05
150.99,3.0,0.04
209.379,3.0,0.06
265.523,4.0,0.07
709.081,12.0,0.2
171.301,3.0,0.05
1764.004,29.0,0.49
237.206,4.0,0.07
2560.362,43.0,0.71
2165.397,36.0,0.6
1296.687,22.0,0.36
394.642,7.0,0.11
426.515,7.0,0.12
260.338,4.0,0.07
780.616,13.0,0.22
587.079,10.0,0.16
50.209,1.0,0.01
101.182,2.0,0.03
219.791,4.0,0.06
170.143,3.0,0.05
282.989,5.0,0.08
158.771,3.0,0.04
105.196,2.0,0.03
1743.298,29.0,0.48
1855.117,31.0,0.52
787.769,13.0,0.22
153.559,3.0,0.04
2612.076,44.0,0.73
153.915,3.0,0.04
0.0,0.0,0.0
610.073,10.0,0.17
304.742,5.0,0.08
3263.16,54.0,0.91
280.779,5.0,0.08
331.893,6.0,0.09
139.16,2.0,0.04
2657.061,44.0,0.74
2845.104,47.0,0.79
1137.733,19.0,0.32
378.385,6.0,0.11
144.579,2.0,0.04
180.748,3.0,0.05
251.964,4.0,0.07
0.0,0.0,0.0
110.492,2.0,0.03
620.822,10.0,0.17
207.088,3.0,0.06
1568.314,26.0,0.44
241.032,4.0,0.07
1283.785,21.0,0.36
534.159,9.0,0.15
419.444,7.0,0.12
262.667,4.0,0.07
468.281,8.0,0.13
175.633,3.0,0.05
925.426,15.0,0.26
426.352,7.0,0.12
1308.949,22.0,0.36
560.814,9.0,0.16
565.713,9.0,0.16
271.134,5.0,0.08
1612.775,27.0,0.45
334.786,6.0,0.09
322.329,5.0,0.09
606.972,10.0,0.17
223.501,4.0,0.06
719.076,12.0,0.2
189.179,3.0,0.05
238.778,4.0,0.07
1909.568,32.0,0.53
237.31,4.0,0.07
519.819,9.0,0.14
89.788,1.0,0.02
1212.477,20.0,0.34
569.283,9.0,0.16
354.226,6.0,0.1
345.799,6.0,0.1
324.818,5.0,0.09
653.52,11.0,0.18
0.0,0.0,0.0
1009.707,17.0,0.28
1422.326,24.0,0.4
796.519,13.0,0.22
182.194,3.0,0.05
281.041,5.0,0.08
478.408,8.0,0.13
322.589,5.0,0.09
1253.399,21.0,0.35
107.469,2.0,0.03
1269.869,21.0,0.35
562.343,9.0,0.16
761.487,13.0,0.21
1090.033,18.0,0.3
247.83,4.0,0.07
1651.752,28.0,0.46
465.083,8.0,0.13
99.943,2.0,0.03
194.211,3.0,0.05
896.574,15.0,0.25
851.914,14.0,0.24
687.73,11.0,0.19
514.435,9.0,0.14
889.647,15.0,0.25
309.299,5.0,0.09
193.777,3.0,0.05
598.549,10.0,0.17
205.16,3.0,0.06
605.444,10.0,0.17
318.264,5.0,0.09
174.349,3.0,0.05
147.133,2.0,0.04
117.395,2.0,0.03
183.549,3.0,0.05
188.442,3.0,0.05
1042.163,17.0,0.29
3356.188,56.0,0.93
143.498,2.0,0.04
663.415,11.0,0.18
161.752,3.0,0.04
173.386,3.0,0.05
455.748,8.0,0.13
106.787,2.0,0.03
319.535,5.0,0.09
230.38,4.0,0.06
440.034,7.0,0.12
103.067,2.0,0.03
1610.471,27.0,0.45
194.903,3.0,0.05
454.999,8.0,0.13
2584.516,43.0,0.72
210.328,4.0,0.06
244.823,4.0,0.07
999.719,17.0,0.28
791.317,13.0,0.22
474.501,8.0,0.13
43.952,1.0,0.01
496.499,8.0,0.14
0.0,0.0,0.0
0.0,0.0,0.0
339.215,6.0,0.09
374.346,6.0,0.1
1080.011,18.0,0.3
321.26,5.0,0.09
335.446,6.0,0.09
576.744,10.0,0.16
0.0,0.0,0.0
1863.649,31.0,0.52
359.267,6.0,0.1
329.442,5.0,0.09
529.628,9.0,0.15
2604.584,43.0,0.72
143.1,2.0,0.04
566.888,9.0,0.16
1370.839,23.0,0.38
3143.797,52.0,0.87
725.981,12.0,0.2
561.748,9.0,0.16
156.883,3.0,0.04
1029.012,17.0,0.29
530.688,9.0,0.15
255.727,4.0,0.07
1744.748,29.0,0.48
1188.649,20.0,0.33
533.083,9.0,0.15
187.259,3.0,0.05
309.744,5.0,0.09
1458.813,24.0,0.41
284.38,5.0,0.08
231.574,4.0,0.06
135.712,2.0,0.04
1390.774,23.0,0.39
619.001,10.0,0.17
311.835,5.0,0.09
310.891,5.0,0.09
571.621,10.0,0.16
284.219,5.0,0.08
779.217,13.0,0.22
194.837,3.0,0.05
490.063,8.0,0.14
268.961,4.0,0.07
197.552,3.0,0.05
3479.732,58.0,0.97
205.271,3.0,0.06
236.15,4.0,0.07
200.376,3.0,0.06
572.162,10.0,0.16
135.761,2.0,0.04
765.527,13.0,0.21
686.89,11.0,0.19
403.76,7.0,0.11
874.795,15.0,0.24
374.613,6.0,0.1
213.358,4.0,0.06
260.031,4.0,0.07
1063.036,18.0,0.3
72.216,1.0,0.02
331.648,6.0,0.09
774.847,13.0,0.22
151.783,3.0,0.04
181.619,3.0,0.05
1078.269,18.0,0.3
3344.639,56.0,0.93
219.24,4.0,0.06
184.082,3.0,0.05
168.082,3.0,0.05
364.39,6.0,0.1
493.232,8.0,0.14
451.561,8.0,0.13
253.922,4.0,0.07
33.673,1.0,0.01
457.24,8.0,0.13
158.655,3.0,0.04
147.209,2.0,0.04
2662.156,44.0,0.74
78.809,1.0,0.02
178.76,3.0,0.05
