sum_time_second,sum_time_minute,sum_time_hour
435.714,7.0,0.12
242.643,4.0,0.07
354.215,6.0,0.1
75.902,1.0,0.02
345.938,6.0,0.1
305.722,5.0,0.08
267.753,4.0,0.07
318.076,5.0,0.09
92.946,2.0,0.03
148.782,2.0,0.04
63.479,1.0,0.02
170.399,3.0,0.05
294.686,5.0,0.08
298.726,5.0,0.08
61.968,1.0,0.02
416.165,7.0,0.12
238.742,4.0,0.07
280.917,5.0,0.08
148.493,2.0,0.04
202.293,3.0,0.06
601.846,10.0,0.17
444.952,7.0,0.12
558.85,9.0,0.16
360.64,6.0,0.1
289.617,5.0,0.08
208.092,3.0,0.06
349.427,6.0,0.1
256.334,4.0,0.07
171.246,3.0,0.05
150.99,3.0,0.04
209.379,3.0,0.06
265.523,4.0,0.07
171.301,3.0,0.05
237.206,4.0,0.07
394.642,7.0,0.11
426.515,7.0,0.12
260.338,4.0,0.07
587.079,10.0,0.16
50.209,1.0,0.01
101.182,2.0,0.03
219.791,4.0,0.06
170.143,3.0,0.05
282.989,5.0,0.08
158.771,3.0,0.04
105.196,2.0,0.03
153.559,3.0,0.04
153.915,3.0,0.04
0.0,0.0,0.0
610.073,10.0,0.17
304.742,5.0,0.08
280.779,5.0,0.08
331.893,6.0,0.09
139.16,2.0,0.04
378.385,6.0,0.11
144.579,2.0,0.04
180.748,3.0,0.05
251.964,4.0,0.07
0.0,0.0,0.0
110.492,2.0,0.03
620.822,10.0,0.17
207.088,3.0,0.06
241.032,4.0,0.07
534.159,9.0,0.15
419.444,7.0,0.12
262.667,4.0,0.07
468.281,8.0,0.13
175.633,3.0,0.05
426.352,7.0,0.12
560.814,9.0,0.16
565.713,9.0,0.16
271.134,5.0,0.08
334.786,6.0,0.09
322.329,5.0,0.09
606.972,10.0,0.17
223.501,4.0,0.06
189.179,3.0,0.05
238.778,4.0,0.07
237.31,4.0,0.07
519.819,9.0,0.14
89.788,1.0,0.02
569.283,9.0,0.16
354.226,6.0,0.1
345.799,6.0,0.1
324.818,5.0,0.09
0.0,0.0,0.0
182.194,3.0,0.05
281.041,5.0,0.08
478.408,8.0,0.13
322.589,5.0,0.09
107.469,2.0,0.03
562.343,9.0,0.16
247.83,4.0,0.07
465.083,8.0,0.13
99.943,2.0,0.03
194.211,3.0,0.05
514.435,9.0,0.14
309.299,5.0,0.09
193.777,3.0,0.05
598.549,10.0,0.17
205.16,3.0,0.06
605.444,10.0,0.17
318.264,5.0,0.09
174.349,3.0,0.05
147.133,2.0,0.04
117.395,2.0,0.03
183.549,3.0,0.05
188.442,3.0,0.05
143.498,2.0,0.04
161.752,3.0,0.04
173.386,3.0,0.05
455.748,8.0,0.13
106.787,2.0,0.03
319.535,5.0,0.09
230.38,4.0,0.06
440.034,7.0,0.12
103.067,2.0,0.03
194.903,3.0,0.05
454.999,8.0,0.13
210.328,4.0,0.06
244.823,4.0,0.07
474.501,8.0,0.13
43.952,1.0,0.01
496.499,8.0,0.14
0.0,0.0,0.0
0.0,0.0,0.0
339.215,6.0,0.09
374.346,6.0,0.1
321.26,5.0,0.09
335.446,6.0,0.09
576.744,10.0,0.16
0.0,0.0,0.0
359.267,6.0,0.1
329.442,5.0,0.09
529.628,9.0,0.15
143.1,2.0,0.04
566.888,9.0,0.16
561.748,9.0,0.16
156.883,3.0,0.04
530.688,9.0,0.15
255.727,4.0,0.07
533.083,9.0,0.15
187.259,3.0,0.05
309.744,5.0,0.09
284.38,5.0,0.08
231.574,4.0,0.06
135.712,2.0,0.04
619.001,10.0,0.17
311.835,5.0,0.09
310.891,5.0,0.09
571.621,10.0,0.16
284.219,5.0,0.08
194.837,3.0,0.05
490.063,8.0,0.14
268.961,4.0,0.07
197.552,3.0,0.05
205.271,3.0,0.06
236.15,4.0,0.07
200.376,3.0,0.06
572.162,10.0,0.16
135.761,2.0,0.04
403.76,7.0,0.11
374.613,6.0,0.1
213.358,4.0,0.06
260.031,4.0,0.07
72.216,1.0,0.02
331.648,6.0,0.09
151.783,3.0,0.04
181.619,3.0,0.05
219.24,4.0,0.06
184.082,3.0,0.05
168.082,3.0,0.05
364.39,6.0,0.1
493.232,8.0,0.14
451.561,8.0,0.13
253.922,4.0,0.07
33.673,1.0,0.01
457.24,8.0,0.13
158.655,3.0,0.04
147.209,2.0,0.04
78.809,1.0,0.02
178.76,3.0,0.05
485.746,8.0,0.13
88.845,1.0,0.02
452.769,8.0,0.13
480.3,8.0,0.13
551.181,9.0,0.15
166.892,3.0,0.05
434.818,7.0,0.12
438.52,7.0,0.12
328.413,5.0,0.09
0.0,0.0,0.0
507.553,8.0,0.14
285.798,5.0,0.08
0.0,0.0,0.0
0.0,0.0,0.0
129.518,2.0,0.04
46.108,1.0,0.01
358.602,6.0,0.1
116.975,2.0,0.03
245.823,4.0,0.07
154.189,3.0,0.04
507.405,8.0,0.14
246.061,4.0,0.07
188.043,3.0,0.05
153.684,3.0,0.04
107.022,2.0,0.03
418.132,7.0,0.12
128.894,2.0,0.04
570.773,10.0,0.16
0.0,0.0,0.0
466.54,8.0,0.13
519.568,9.0,0.14
213.764,4.0,0.06
139.532,2.0,0.04
244.896,4.0,0.07
136.289,2.0,0.04
347.224,6.0,0.1
239.065,4.0,0.07
175.708,3.0,0.05
340.479,6.0,0.09
199.313,3.0,0.06
133.386,2.0,0.04
349.096,6.0,0.1
434.845,7.0,0.12
134.838,2.0,0.04
174.328,3.0,0.05
153.201,3.0,0.04
341.615,6.0,0.09
274.728,5.0,0.08
609.24,10.0,0.17
265.161,4.0,0.07
123.735,2.0,0.03
609.562,10.0,0.17
354.179,6.0,0.1
213.306,4.0,0.06
194.157,3.0,0.05
336.645,6.0,0.09
268.324,4.0,0.07
487.243,8.0,0.14
182.777,3.0,0.05
242.135,4.0,0.07
167.778,3.0,0.05
124.711,2.0,0.03
0.0,0.0,0.0
272.94,5.0,0.08
342.43,6.0,0.1
100.294,2.0,0.03
595.071,10.0,0.17
227.784,4.0,0.06
600.331,10.0,0.17
213.777,4.0,0.06
357.087,6.0,0.1
155.079,3.0,0.04
295.847,5.0,0.08
189.824,3.0,0.05
54.672,1.0,0.02
223.401,4.0,0.06
371.805,6.0,0.1
270.654,5.0,0.08
224.048,4.0,0.06
255.932,4.0,0.07
311.375,5.0,0.09
577.078,10.0,0.16
461.615,8.0,0.13
