sum_time_second,sum_time_minute,sum_time_hour
530.511,9.0,0.15
559.408,9.0,0.16
189.096,3.0,0.05
0.0,0.0,0.0
299.57,5.0,0.08
0.0,0.0,0.0
111.089,2.0,0.03
1911.383,32.0,0.53
8380.947,140.0,2.33
2944.478,49.0,0.82
1496.716,25.0,0.42
159.955,3.0,0.04
4513.51,75.0,1.25
559.458,9.0,0.16
2592.871,43.0,0.72
148.305,2.0,0.04
58.544,1.0,0.02
54848.762,914.0,15.24
84253.065,1404.0,23.4
374.613,6.0,0.1
400.802,7.0,0.11
1359.851,23.0,0.38
3459.105,58.0,0.96
10667.578,178.0,2.96
94.235,2.0,0.03
6563.15,109.0,1.82
319.241,5.0,0.09
67656.039,1128.0,18.79
1487.994,25.0,0.41
670.832,11.0,0.19
307.989,5.0,0.09
695.851,12.0,0.19
288.388,5.0,0.08
132.651,2.0,0.04
104.126,2.0,0.03
902.005,15.0,0.25
146.547,2.0,0.04
142.761,2.0,0.04
104.385,2.0,0.03
202.199,3.0,0.06
1096.305,18.0,0.3
4166.325,69.0,1.16
2198.097,37.0,0.61
1376.28,23.0,0.38
69394.733,1157.0,19.28
113.158,2.0,0.03
271.171,5.0,0.08
471.555,8.0,0.13
1813.555,30.0,0.5
390.906,7.0,0.11
273.269,5.0,0.08
279.301,5.0,0.08
0.0,0.0,0.0
7393.061,123.0,2.05
139.117,2.0,0.04
161.933,3.0,0.04
626.665,10.0,0.17
1354.459,23.0,0.38
138.503,2.0,0.04
237.31,4.0,0.07
926.27,15.0,0.26
17714.448,295.0,4.92
834.969,14.0,0.23
551.43,9.0,0.15
232.2,4.0,0.06
180.033,3.0,0.05
85462.01,1424.0,23.74
454.337,8.0,0.13
249.094,4.0,0.07
1826.779,30.0,0.51
408.588,7.0,0.11
623.721,10.0,0.17
116.304,2.0,0.03
121.649,2.0,0.03
3669.875,61.0,1.02
274.711,5.0,0.08
183.308,3.0,0.05
140.482,2.0,0.04
540.021,9.0,0.15
91.997,2.0,0.03
1477.184,25.0,0.41
96.357,2.0,0.03
68970.226,1150.0,19.16
331.803,6.0,0.09
79.123,1.0,0.02
1261.107,21.0,0.35
347.684,6.0,0.1
792.242,13.0,0.22
219.791,4.0,0.06
79467.4,1324.0,22.07
348.688,6.0,0.1
238.82,4.0,0.07
351.436,6.0,0.1
35.925,1.0,0.01
161.569,3.0,0.04
681.708,11.0,0.19
241.22,4.0,0.07
2967.093,49.0,0.82
163.877,3.0,0.05
101.928,2.0,0.03
1561.376,26.0,0.43
378.385,6.0,0.11
837.238,14.0,0.23
478.408,8.0,0.13
9775.224,163.0,2.72
121.902,2.0,0.03
310.83,5.0,0.09
99.064,2.0,0.03
463.468,8.0,0.13
555.562,9.0,0.15
3080.507,51.0,0.86
346.579,6.0,0.1
939.729,16.0,0.26
253.268,4.0,0.07
309.882,5.0,0.09
921.272,15.0,0.26
115.305,2.0,0.03
442.838,7.0,0.12
9561.539,159.0,2.66
1844.645,31.0,0.51
45857.558,764.0,12.74
1654.243,28.0,0.46
584.174,10.0,0.16
1422.326,24.0,0.4
898.656,15.0,0.25
1072.977,18.0,0.3
151.66,3.0,0.04
3666.485,61.0,1.02
155.369,3.0,0.04
104.55,2.0,0.03
1405.876,23.0,0.39
6584.539,110.0,1.83
189.359,3.0,0.05
0.0,0.0,0.0
266.381,4.0,0.07
70190.311,1170.0,19.5
33.241,1.0,0.01
23049.289,384.0,6.4
82209.835,1370.0,22.84
301.926,5.0,0.08
2663.36,44.0,0.74
544.173,9.0,0.15
756.976,13.0,0.21
831.285,14.0,0.23
319.565,5.0,0.09
356.528,6.0,0.1
1597.77,27.0,0.44
110.75,2.0,0.03
284.275,5.0,0.08
888.713,15.0,0.25
133.829,2.0,0.04
153.416,3.0,0.04
1997.512,33.0,0.55
73.333,1.0,0.02
145.732,2.0,0.04
0.0,0.0,0.0
286.252,5.0,0.08
8422.464,140.0,2.34
709.133,12.0,0.2
1361.014,23.0,0.38
119.905,2.0,0.03
673.302,11.0,0.19
92.159,2.0,0.03
742.316,12.0,0.21
10940.298,182.0,3.04
171.231,3.0,0.05
293.044,5.0,0.08
174.934,3.0,0.05
104.107,2.0,0.03
21959.739,366.0,6.1
213.2,4.0,0.06
139.756,2.0,0.04
1176.542,20.0,0.33
78280.08,1305.0,21.74
435.246,7.0,0.12
1009.52,17.0,0.28
664.275,11.0,0.18
0.0,0.0,0.0
1477.805,25.0,0.41
1459.173,24.0,0.41
231.706,4.0,0.06
40.629,1.0,0.01
1295.789,22.0,0.36
2409.694,40.0,0.67
197.586,3.0,0.05
0.0,0.0,0.0
171.714,3.0,0.05
232.34,4.0,0.06
4602.275,77.0,1.28
1014.282,17.0,0.28
187.668,3.0,0.05
3050.902,51.0,0.85
2937.593,49.0,0.82
10595.011,177.0,2.94
224.895,4.0,0.06
198.414,3.0,0.06
339.528,6.0,0.09
209.322,3.0,0.06
95.603,2.0,0.03
461.863,8.0,0.13
188.442,3.0,0.05
71.927,1.0,0.02
6888.555,115.0,1.91
734.355,12.0,0.2
2626.051,44.0,0.73
590.534,10.0,0.16
203.758,3.0,0.06
577.0,10.0,0.16
12390.189,207.0,3.44
1840.041,31.0,0.51
6404.295,107.0,1.78
71408.792,1190.0,19.84
10758.318,179.0,2.99
196.838,3.0,0.05
191.606,3.0,0.05
167.379,3.0,0.05
40256.795,671.0,11.18
122.164,2.0,0.03
557.102,9.0,0.15
1724.661,29.0,0.48
918.703,15.0,0.26
170.164,3.0,0.05
408.11,7.0,0.11
334.708,6.0,0.09
6877.322,115.0,1.91
136.06,2.0,0.04
3903.634,65.0,1.08
193.663,3.0,0.05
811.309,14.0,0.23
172.924,3.0,0.05
752.831,13.0,0.21
388.01,6.0,0.11
872.898,15.0,0.24
33810.34,564.0,9.39
130.306,2.0,0.04
6885.24,115.0,1.91
1583.009,26.0,0.44
12412.627,207.0,3.45
8699.898,145.0,2.42
1556.891,26.0,0.43
19593.506,327.0,5.44
34214.461,570.0,9.5
109.222,2.0,0.03
81993.62,1367.0,22.78
772.87,13.0,0.21
2429.754,40.0,0.67
290.561,5.0,0.08
295.847,5.0,0.08
579.877,10.0,0.16
355.293,6.0,0.1
228.413,4.0,0.06
349.096,6.0,0.1
78741.549,1312.0,21.87
148.657,2.0,0.04
255.543,4.0,0.07
347.994,6.0,0.1
14369.273,239.0,3.99
889.276,15.0,0.25
797.248,13.0,0.22
23283.711,388.0,6.47
421.778,7.0,0.12
1345.784,22.0,0.37
192.691,3.0,0.05
36916.078,615.0,10.25
2284.638,38.0,0.63
661.079,11.0,0.18
522.644,9.0,0.15
501.182,8.0,0.14
2474.566,41.0,0.69
528.726,9.0,0.15
133.356,2.0,0.04
2425.29,40.0,0.67
1007.607,17.0,0.28
1593.187,27.0,0.44
3871.351,65.0,1.08
83728.272,1395.0,23.26
10926.761,182.0,3.04
41.125,1.0,0.01
277.915,5.0,0.08
130.143,2.0,0.04
0.0,0.0,0.0
2253.782,38.0,0.63
10682.081,178.0,2.97
553.48,9.0,0.15
395.264,7.0,0.11
181.109,3.0,0.05
19621.108,327.0,5.45
321.869,5.0,0.09
77.005,1.0,0.02
4552.357,76.0,1.26
20497.018,342.0,5.69
249.9,4.0,0.07
1259.025,21.0,0.35
1730.895,29.0,0.48
995.069,17.0,0.28
208.792,3.0,0.06
354.854,6.0,0.1
631.167,11.0,0.18
837.975,14.0,0.23
1996.878,33.0,0.55
951.409,16.0,0.26
207.284,3.0,0.06
533.448,9.0,0.15
630.122,11.0,0.18
1346.979,22.0,0.37
6450.167,108.0,1.79
627.415,10.0,0.17
4006.565,67.0,1.11
42.766,1.0,0.01
148.687,2.0,0.04
375.294,6.0,0.1
290.798,5.0,0.08
1166.434,19.0,0.32
101.182,2.0,0.03
566.943,9.0,0.16
710.908,12.0,0.2
908.614,15.0,0.25
239.032,4.0,0.07
174.184,3.0,0.05
198.705,3.0,0.06
291.825,5.0,0.08
2188.928,36.0,0.61
2612.076,44.0,0.73
386.185,6.0,0.11
624.191,10.0,0.17
1537.047,26.0,0.43
448.327,7.0,0.12
2886.804,48.0,0.8
62475.207,1041.0,17.35
405.248,7.0,0.11
259.735,4.0,0.07
812.006,14.0,0.23
524.66,9.0,0.15
80241.434,1337.0,22.29
361.914,6.0,0.1
2479.52,41.0,0.69
60.101,1.0,0.02
129.704,2.0,0.04
544.146,9.0,0.15
125.846,2.0,0.03
0.05,0.0,0.0
20161.5,336.0,5.6
147.219,2.0,0.04
966.462,16.0,0.27
661.942,11.0,0.18
861.352,14.0,0.24
233.722,4.0,0.06
648.235,11.0,0.18
17486.441,291.0,4.86
1212.191,20.0,0.34
1238.187,21.0,0.34
1880.305,31.0,0.52
5668.417,94.0,1.57
176.154,3.0,0.05
1017.912,17.0,0.28
120.562,2.0,0.03
141.316,2.0,0.04
153.196,3.0,0.04
522.745,9.0,0.15
369.783,6.0,0.1
56.973,1.0,0.02
0.0,0.0,0.0
67171.359,1120.0,18.66
1435.864,24.0,0.4
213.607,4.0,0.06
164.4,3.0,0.05
154.656,3.0,0.04
159.516,3.0,0.04
1551.6,26.0,0.43
90.647,2.0,0.03
627.49,10.0,0.17
181.182,3.0,0.05
1084.054,18.0,0.3
272.999,5.0,0.08
297.332,5.0,0.08
61248.833,1021.0,17.01
1015.305,17.0,0.28
69.079,1.0,0.02
59890.549,998.0,16.64
1780.476,30.0,0.49
9452.334,158.0,2.63
647.114,11.0,0.18
2268.885,38.0,0.63
129.449,2.0,0.04
282.073,5.0,0.08
631.402,11.0,0.18
103.357,2.0,0.03
109.057,2.0,0.03
2603.221,43.0,0.72
897.666,15.0,0.25
872.654,15.0,0.24
389.289,6.0,0.11
3157.045,53.0,0.88
453.649,8.0,0.13
88.108,1.0,0.02
82482.34,1375.0,22.91
77173.297,1286.0,21.44
342.511,6.0,0.1
326.004,5.0,0.09
223.237,4.0,0.06
218.514,4.0,0.06
661.538,11.0,0.18
53757.603,896.0,14.93
137.32,2.0,0.04
211.062,4.0,0.06
232.8,4.0,0.06
4049.054,67.0,1.12
211.665,4.0,0.06
183.338,3.0,0.05
174.328,3.0,0.05
459.745,8.0,0.13
239.42,4.0,0.07
