nb_visites,nb_views,nb_addtocarts,nb_transactions,cat_top_vus,cat_top_mis_panier,cat_top_vendus
32,30.0,1.0,1.0,0,0,0
36,32.0,3.0,1.0,0,0,0
97,93.0,3.0,1.0,0,0,0
68,65.0,2.0,1.0,0,0,0
93,88.0,4.0,1.0,0,0,0
19,17.0,1.0,1.0,0,0,0
88,75.0,8.0,5.0,0,0,0
66,61.0,3.0,2.0,0,0,0
150,136.0,13.0,1.0,0,0,0
163,161.0,1.0,1.0,0,0,0
80,77.0,2.0,1.0,0,0,0
86,71.0,7.0,8.0,0,0,1
79,72.0,6.0,1.0,0,0,0
53,49.0,3.0,1.0,0,0,0
460,447.0,11.0,2.0,1,0,0
5,3.0,1.0,1.0,0,0,0
49,46.0,2.0,1.0,0,0,0
13,11.0,1.0,1.0,0,0,0
24,15.0,7.0,2.0,0,0,0
64,60.0,3.0,1.0,0,0,0
60,56.0,3.0,1.0,0,0,0
20,18.0,1.0,1.0,0,0,0
10,8.0,1.0,1.0,0,0,0
53,50.0,2.0,1.0,0,0,0
6,4.0,1.0,1.0,0,0,0
50,47.0,2.0,1.0,0,0,0
28,14.0,10.0,4.0,0,0,0
14,11.0,1.0,2.0,0,0,0
49,46.0,2.0,1.0,0,0,0
95,88.0,4.0,3.0,0,0,0
32,30.0,1.0,1.0,0,0,0
33,28.0,3.0,2.0,0,0,0
145,136.0,7.0,2.0,0,0,0
10,7.0,2.0,1.0,0,0,0
40,38.0,1.0,1.0,0,0,0
24,22.0,1.0,1.0,0,0,0
34,32.0,1.0,1.0,0,0,0
14,12.0,1.0,1.0,0,0,0
22,17.0,3.0,2.0,0,0,0
222,213.0,7.0,2.0,0,0,0
104,99.0,3.0,2.0,0,0,0
216,210.0,5.0,1.0,0,0,0
43,41.0,1.0,1.0,0,0,0
53,49.0,3.0,1.0,0,0,0
5,4.0,0.0,1.0,0,0,0
84,74.0,9.0,1.0,0,0,0
76,73.0,2.0,1.0,0,0,0
7,5.0,1.0,1.0,0,0,0
74,71.0,2.0,1.0,0,0,0
52,48.0,2.0,2.0,0,0,0
197,178.0,15.0,4.0,0,1,0
50,44.0,5.0,1.0,0,0,0
19,17.0,1.0,1.0,0,0,0
40,34.0,4.0,2.0,0,0,0
59,57.0,1.0,1.0,0,0,0
21,17.0,2.0,2.0,0,0,0
20,18.0,1.0,1.0,0,0,0
67,61.0,3.0,3.0,0,0,0
