nb_visites,nb_views,nb_addtocarts,nb_transactions,cat_top_vus,cat_top_mis_panier,cat_top_vendus
2978,2539.0,306.0,133.0,1,1,1
893,752.0,44.0,97.0,1,1,1
402,293.0,17.0,92.0,0,1,1
1155,947.0,162.0,46.0,1,1,1
1489,1346.0,97.0,46.0,1,1,1
1073,939.0,89.0,45.0,1,1,1
1122,986.0,95.0,41.0,1,1,1
665,575.0,52.0,38.0,1,1,1
894,796.0,60.0,38.0,1,1,1
740,631.0,72.0,37.0,1,1,1
838,647.0,156.0,35.0,1,1,1
1507,1333.0,141.0,33.0,1,1,1
474,393.0,49.0,32.0,1,1,1
1214,1103.0,80.0,31.0,1,1,1
551,468.0,52.0,31.0,1,1,1
678,597.0,52.0,29.0,1,1,1
236,200.0,8.0,28.0,0,0,1
977,860.0,90.0,27.0,1,1,1
1647,1531.0,89.0,27.0,1,1,1
1162,1067.0,70.0,25.0,1,1,1
1227,1131.0,71.0,25.0,1,1,1
657,589.0,45.0,23.0,1,1,1
625,558.0,44.0,23.0,1,1,1
490,435.0,33.0,22.0,1,1,1
680,626.0,34.0,20.0,1,1,1
492,414.0,58.0,20.0,1,1,1
1231,1164.0,47.0,20.0,1,1,1
274,232.0,23.0,19.0,0,1,1
274,232.0,23.0,19.0,0,1,1
701,610.0,72.0,19.0,1,1,1
1067,912.0,136.0,19.0,1,1,1
464,419.0,26.0,19.0,1,1,1
354,283.0,52.0,19.0,0,1,1
415,363.0,34.0,18.0,1,1,1
323,270.0,35.0,18.0,0,1,1
344,298.0,29.0,17.0,1,1,1
549,495.0,37.0,17.0,1,1,1
214,178.0,20.0,16.0,0,1,1
227,181.0,30.0,16.0,0,1,1
504,456.0,32.0,16.0,1,1,1
487,448.0,23.0,16.0,1,1,1
1307,1214.0,77.0,16.0,1,1,1
1608,1528.0,65.0,15.0,1,1,1
1628,1565.0,48.0,15.0,1,1,1
475,422.0,38.0,15.0,1,1,1
404,336.0,53.0,15.0,1,1,1
402,356.0,31.0,15.0,1,1,1
572,521.0,36.0,15.0,1,1,1
276,233.0,29.0,14.0,0,1,1
1103,1043.0,46.0,14.0,1,1,1
403,363.0,26.0,14.0,1,1,1
355,318.0,23.0,14.0,1,1,1
622,581.0,27.0,14.0,1,1,1
404,366.0,24.0,14.0,1,1,1
794,696.0,84.0,14.0,1,1,1
168,130.0,24.0,14.0,0,1,1
960,907.0,40.0,13.0,1,1,1
770,709.0,48.0,13.0,1,1,1
450,391.0,46.0,13.0,1,1,1
442,403.0,26.0,13.0,1,1,1
727,680.0,34.0,13.0,1,1,1
183,146.0,24.0,13.0,0,1,1
225,194.0,18.0,13.0,0,1,1
896,839.0,44.0,13.0,1,1,1
1153,1076.0,64.0,13.0,1,1,1
241,220.0,9.0,12.0,0,0,1
185,162.0,11.0,12.0,0,0,1
249,211.0,26.0,12.0,0,1,1
785,734.0,39.0,12.0,1,1,1
154,111.0,31.0,12.0,0,1,1
794,746.0,36.0,12.0,1,1,1
403,365.0,26.0,12.0,1,1,1
270,238.0,20.0,12.0,0,1,1
182,152.0,18.0,12.0,0,1,1
406,368.0,26.0,12.0,1,1,1
617,567.0,38.0,12.0,1,1,1
972,928.0,32.0,12.0,1,1,1
397,365.0,20.0,12.0,1,1,1
706,652.0,42.0,12.0,1,1,1
1800,1740.0,48.0,12.0,1,1,1
214,177.0,25.0,12.0,0,1,1
223,189.0,22.0,12.0,0,1,1
229,198.0,20.0,11.0,0,1,1
233,204.0,18.0,11.0,0,1,1
93,67.0,15.0,11.0,0,1,1
433,389.0,33.0,11.0,1,1,1
687,641.0,35.0,11.0,1,1,1
341,315.0,15.0,11.0,1,1,1
175,151.0,13.0,11.0,0,0,1
151,128.0,12.0,11.0,0,0,1
382,352.0,19.0,11.0,1,1,1
360,335.0,14.0,11.0,1,0,1
464,424.0,29.0,11.0,1,1,1
244,204.0,29.0,11.0,0,1,1
522,465.0,46.0,11.0,1,1,1
905,874.0,20.0,11.0,1,1,1
959,904.0,44.0,11.0,1,1,1
764,716.0,37.0,11.0,1,1,1
774,733.0,30.0,11.0,1,1,1
426,389.0,26.0,11.0,1,1,1
193,162.0,20.0,11.0,0,1,1
388,359.0,18.0,11.0,1,1,1
1447,1397.0,39.0,11.0,1,1,1
246,218.0,17.0,11.0,0,1,1
139,113.0,15.0,11.0,0,1,1
396,355.0,30.0,11.0,1,1,1
1433,1389.0,33.0,11.0,1,1,1
90,61.0,18.0,11.0,0,1,1
127,101.0,16.0,10.0,0,1,1
538,498.0,30.0,10.0,1,1,1
210,176.0,24.0,10.0,0,1,1
258,235.0,13.0,10.0,0,0,1
227,199.0,18.0,10.0,0,1,1
320,286.0,24.0,10.0,0,1,1
285,249.0,26.0,10.0,0,1,1
446,418.0,18.0,10.0,1,1,1
628,589.0,29.0,10.0,1,1,1
562,525.0,27.0,10.0,1,1,1
283,249.0,24.0,10.0,0,1,1
512,472.0,30.0,10.0,1,1,1
213,185.0,18.0,10.0,0,1,1
199,165.0,24.0,10.0,0,1,1
191,164.0,17.0,10.0,0,1,1
948,909.0,29.0,10.0,1,1,1
180,151.0,19.0,10.0,0,1,1
116,97.0,9.0,10.0,0,0,1
323,290.0,23.0,10.0,0,1,1
180,155.0,15.0,10.0,0,1,1
221,186.0,25.0,10.0,0,1,1
268,239.0,19.0,10.0,0,1,1
440,411.0,19.0,10.0,1,1,1
518,482.0,26.0,10.0,1,1,1
474,443.0,21.0,10.0,1,1,1
266,242.0,15.0,9.0,0,1,1
610,571.0,30.0,9.0,1,1,1
676,645.0,22.0,9.0,1,1,1
325,301.0,15.0,9.0,1,1,1
134,113.0,12.0,9.0,0,0,1
191,170.0,12.0,9.0,0,0,1
161,137.0,15.0,9.0,0,1,1
236,211.0,16.0,9.0,0,1,1
201,157.0,35.0,9.0,0,1,1
376,345.0,22.0,9.0,1,1,1
509,486.0,14.0,9.0,1,0,1
199,179.0,11.0,9.0,0,0,1
847,810.0,28.0,9.0,1,1,1
191,171.0,11.0,9.0,0,0,1
297,274.0,14.0,9.0,0,0,1
140,117.0,14.0,9.0,0,1,1
130,108.0,13.0,9.0,0,0,1
136,118.0,9.0,9.0,0,0,1
248,227.0,12.0,9.0,0,0,1
272,222.0,41.0,9.0,0,1,1
294,266.0,19.0,9.0,0,1,1
505,475.0,21.0,9.0,1,1,1
684,614.0,61.0,9.0,1,1,1
239,203.0,27.0,9.0,0,1,1
368,345.0,14.0,9.0,1,1,1
182,162.0,11.0,9.0,0,0,1
124,104.0,11.0,9.0,0,0,1
388,363.0,16.0,9.0,1,1,1
841,764.0,68.0,9.0,1,1,1
196,170.0,17.0,9.0,0,1,1
246,221.0,16.0,9.0,0,1,1
101,81.0,11.0,9.0,0,0,1
120,92.0,19.0,9.0,0,1,1
135,113.0,13.0,9.0,0,0,1
600,567.0,24.0,9.0,1,1,1
349,281.0,59.0,9.0,0,1,1
182,157.0,16.0,9.0,0,1,1
205,177.0,19.0,9.0,0,1,1
219,197.0,13.0,9.0,0,0,1
540,519.0,12.0,9.0,1,0,1
164,145.0,11.0,8.0,0,0,1
200,173.0,19.0,8.0,0,1,1
298,269.0,21.0,8.0,0,1,1
635,608.0,19.0,8.0,1,1,1
191,171.0,12.0,8.0,0,0,1
247,226.0,13.0,8.0,0,0,1
183,166.0,9.0,8.0,0,0,1
396,375.0,13.0,8.0,1,0,1
110,92.0,10.0,8.0,0,0,1
66,46.0,12.0,8.0,0,0,1
1126,1094.0,24.0,8.0,1,1,1
319,295.0,16.0,8.0,0,1,1
340,315.0,17.0,8.0,1,1,1
256,217.0,31.0,8.0,0,1,1
275,252.0,15.0,8.0,0,1,1
252,229.0,15.0,8.0,0,1,1
294,269.0,17.0,8.0,0,1,1
253,227.0,18.0,8.0,0,1,1
108,90.0,10.0,8.0,0,0,1
259,242.0,9.0,8.0,0,0,1
321,299.0,14.0,8.0,1,1,1
270,249.0,13.0,8.0,0,0,1
317,293.0,16.0,8.0,0,1,1
159,141.0,10.0,8.0,0,0,1
135,117.0,10.0,8.0,0,0,1
101,83.0,10.0,8.0,0,0,1
141,107.0,26.0,8.0,0,1,1
358,323.0,27.0,8.0,1,1,1
446,423.0,15.0,8.0,1,1,1
331,308.0,15.0,8.0,1,1,1
424,399.0,17.0,8.0,1,1,1
594,524.0,62.0,8.0,1,1,1
195,172.0,15.0,8.0,0,1,1
372,320.0,44.0,8.0,1,1,1
247,217.0,22.0,8.0,0,1,1
297,270.0,19.0,8.0,0,1,1
161,141.0,12.0,8.0,0,0,1
292,274.0,10.0,8.0,0,0,1
147,126.0,13.0,8.0,0,0,1
364,328.0,28.0,8.0,1,1,1
95,77.0,10.0,8.0,0,0,1
161,142.0,11.0,8.0,0,0,1
609,578.0,23.0,8.0,1,1,1
220,195.0,17.0,8.0,0,1,1
141,119.0,14.0,8.0,0,1,1
86,71.0,7.0,8.0,0,0,1
246,226.0,13.0,7.0,0,0,1
520,483.0,30.0,7.0,1,1,1
732,706.0,19.0,7.0,1,1,1
232,213.0,12.0,7.0,0,0,1
191,168.0,16.0,7.0,0,1,1
526,498.0,21.0,7.0,1,1,1
244,226.0,11.0,7.0,0,0,1
220,202.0,11.0,7.0,0,0,1
415,392.0,16.0,7.0,1,1,1
210,187.0,16.0,7.0,0,1,1
194,179.0,8.0,7.0,0,0,1
86,70.0,9.0,7.0,0,0,1
160,147.0,6.0,7.0,0,0,1
317,294.0,16.0,7.0,0,1,1
219,197.0,15.0,7.0,0,1,1
125,107.0,11.0,7.0,0,0,1
96,78.0,11.0,7.0,0,0,1
119,103.0,9.0,7.0,0,0,1
198,185.0,6.0,7.0,0,0,1
203,184.0,12.0,7.0,0,0,1
114,95.0,12.0,7.0,0,0,1
124,101.0,16.0,7.0,0,1,1
187,165.0,15.0,7.0,0,1,1
10,3.0,0.0,7.0,0,0,1
131,114.0,10.0,7.0,0,0,1
163,144.0,12.0,7.0,0,0,1
572,548.0,17.0,7.0,1,1,1
118,103.0,8.0,7.0,0,0,1
122,106.0,9.0,7.0,0,0,1
253,225.0,21.0,7.0,0,1,1
126,110.0,9.0,7.0,0,0,1
350,322.0,21.0,7.0,1,1,1
188,166.0,15.0,7.0,0,1,1
438,416.0,15.0,7.0,1,1,1
693,654.0,32.0,7.0,1,1,1
327,295.0,25.0,7.0,0,1,1
653,599.0,47.0,7.0,1,1,1
391,371.0,13.0,7.0,1,0,1
273,232.0,34.0,7.0,0,1,1
471,444.0,20.0,7.0,1,1,1
174,158.0,9.0,7.0,0,0,1
254,232.0,15.0,7.0,0,1,1
119,99.0,13.0,7.0,0,0,1
256,238.0,11.0,7.0,0,0,1
203,183.0,13.0,7.0,0,0,1
76,53.0,16.0,7.0,0,1,1
325,289.0,29.0,7.0,0,1,1
136,119.0,10.0,7.0,0,0,1
113,100.0,6.0,7.0,0,0,1
166,146.0,13.0,7.0,0,0,1
505,435.0,63.0,7.0,1,1,1
189,170.0,12.0,7.0,0,0,1
272,253.0,12.0,7.0,0,0,1
325,311.0,7.0,7.0,1,0,1
111,94.0,10.0,7.0,0,0,1
194,174.0,13.0,7.0,0,0,1
354,326.0,21.0,7.0,1,1,1
628,597.0,24.0,7.0,1,1,1
128,107.0,14.0,7.0,0,1,1
189,169.0,13.0,7.0,0,0,1
175,155.0,13.0,7.0,0,0,1
78,71.0,0.0,7.0,0,0,1
180,157.0,16.0,7.0,0,1,1
173,154.0,12.0,7.0,0,0,1
185,167.0,11.0,7.0,0,0,1
229,208.0,14.0,7.0,0,1,1
128,108.0,13.0,7.0,0,0,1
252,234.0,11.0,7.0,0,0,1
56,38.0,11.0,7.0,0,0,1
426,378.0,41.0,7.0,1,1,1
363,335.0,21.0,7.0,1,1,1
158,138.0,13.0,7.0,0,0,1
238,217.0,14.0,7.0,0,1,1
140,118.0,15.0,7.0,0,1,1
368,345.0,16.0,7.0,1,1,1
338,287.0,44.0,7.0,0,1,1
74,55.0,12.0,7.0,0,0,1
343,317.0,19.0,7.0,1,1,1
123,106.0,10.0,7.0,0,0,1
703,670.0,26.0,7.0,1,1,1
194,175.0,12.0,7.0,0,0,1
265,241.0,17.0,7.0,0,1,1
118,99.0,12.0,7.0,0,0,1
131,115.0,9.0,7.0,0,0,1
219,195.0,17.0,7.0,0,1,1
217,193.0,17.0,7.0,0,1,1
157,135.0,15.0,7.0,0,1,1
297,274.0,16.0,7.0,0,1,1
95,80.0,9.0,6.0,0,0,1
289,269.0,14.0,6.0,0,1,1
572,545.0,21.0,6.0,1,1,1
242,222.0,14.0,6.0,0,1,1
209,186.0,17.0,6.0,0,1,1
38,24.0,8.0,6.0,0,0,1
111,98.0,7.0,6.0,0,0,1
146,128.0,12.0,6.0,0,0,1
165,150.0,9.0,6.0,0,0,1
70,51.0,13.0,6.0,0,0,1
613,591.0,16.0,6.0,1,1,1
394,377.0,11.0,6.0,1,0,1
184,167.0,11.0,6.0,0,0,1
340,295.0,39.0,6.0,0,1,1
228,213.0,9.0,6.0,0,0,1
125,104.0,15.0,6.0,0,1,1
830,801.0,23.0,6.0,1,1,1
280,261.0,13.0,6.0,0,0,1
125,109.0,10.0,6.0,0,0,1
175,158.0,11.0,6.0,0,0,1
288,272.0,10.0,6.0,0,0,1
374,343.0,25.0,6.0,1,1,1
123,105.0,12.0,6.0,0,0,1
170,151.0,13.0,6.0,0,0,1
75,63.0,6.0,6.0,0,0,1
112,91.0,15.0,6.0,0,1,1
119,103.0,10.0,6.0,0,0,1
272,235.0,31.0,6.0,0,1,1
115,92.0,17.0,6.0,0,1,1
105,90.0,9.0,6.0,0,0,1
1039,1001.0,32.0,6.0,1,1,1
71,59.0,6.0,6.0,0,0,1
92,78.0,8.0,6.0,0,0,1
291,265.0,20.0,6.0,0,1,1
267,244.0,17.0,6.0,0,1,1
153,136.0,11.0,6.0,0,0,1
106,90.0,10.0,6.0,0,0,1
511,497.0,8.0,6.0,1,0,1
93,75.0,12.0,6.0,0,0,1
89,75.0,8.0,6.0,0,0,1
379,359.0,14.0,6.0,1,1,1
107,84.0,17.0,6.0,0,1,1
428,392.0,30.0,6.0,1,1,1
340,317.0,17.0,6.0,1,1,1
347,328.0,13.0,6.0,1,0,1
268,249.0,13.0,6.0,0,0,1
25,15.0,4.0,6.0,0,0,1
521,496.0,19.0,6.0,1,1,1
425,403.0,16.0,6.0,1,1,1
251,235.0,10.0,6.0,0,0,1
93,78.0,9.0,6.0,0,0,1
465,439.0,20.0,6.0,1,1,1
153,136.0,11.0,6.0,0,0,1
121,108.0,7.0,6.0,0,0,1
72,60.0,6.0,6.0,0,0,1
59,46.0,7.0,6.0,0,0,1
184,164.0,14.0,6.0,0,1,1
193,179.0,8.0,6.0,0,0,1
395,378.0,11.0,6.0,1,0,1
139,121.0,12.0,6.0,0,0,1
370,353.0,11.0,6.0,1,0,1
121,109.0,6.0,6.0,0,0,1
188,164.0,18.0,6.0,0,1,1
104,89.0,9.0,6.0,0,0,1
300,279.0,15.0,6.0,0,1,1
383,355.0,22.0,6.0,1,1,1
308,290.0,12.0,6.0,0,0,1
192,179.0,7.0,6.0,0,0,1
120,103.0,11.0,6.0,0,0,1
160,140.0,14.0,6.0,0,1,1
390,368.0,16.0,6.0,1,1,1
188,154.0,28.0,6.0,0,1,1
510,482.0,22.0,6.0,1,1,1
280,255.0,19.0,6.0,0,1,1
83,62.0,15.0,6.0,0,1,1
213,193.0,14.0,6.0,0,0,1
260,246.0,8.0,6.0,0,0,1
396,370.0,20.0,6.0,1,1,1
